ID,STATE,AGE,RACE,GENDER,EDUCATION,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
243665,VI,77,Pacific Islander,F,High School,1,1,5,3,5,2,5,3,1,4,4,1,1,4,5,2,2,1,5,3,4,4,5,3,2
243744,CA,20,Asian,M,PhD,1,1,1,5,1,1,1,2,5,3,2,1,5,5,1,2,2,2,2,3,5,1,4,4,5
243780,IN,78,American Indian,F,PhD,4,3,1,2,4,4,2,2,5,3,2,3,2,2,1,3,1,4,3,1,5,3,3,4,1
243799,MA,92,Pacific Islander,F,"A,Sc",5,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,4,3,2,5,3,3,1,2,3
243823,TX,66,American Indian,M,GED,4,2,4,3,2,2,1,5,4,5,3,2,3,1,3,3,4,3,1,1,1,3,4,3,1
243832,PR,42,African American,F,"A,Sc",2,2,2,1,2,4,5,4,1,5,4,2,3,1,3,4,1,4,4,3,5,2,2,3,3
243841,PR,31,African American,M,PhD,3,3,1,2,5,5,2,2,5,2,3,3,4,4,5,2,5,1,3,3,1,3,2,2,2
244011,CA,92,American Indian,F,"A,Sc",2,4,1,2,4,3,5,4,3,4,4,2,3,2,2,5,5,1,4,2,2,2,4,5,5
244154,CO,18,Asian,F,"B,Sc",3,4,3,3,5,4,4,4,4,4,1,2,5,4,2,3,4,5,3,5,5,1,4,4,1
244190,DE,61,Asian,F,PhD,2,4,3,4,3,1,1,1,2,5,4,1,3,3,2,5,3,2,4,4,4,5,3,2,1
244233,FL,44,Pacific Islander,F,High School,2,3,4,4,5,2,5,1,3,4,1,4,4,1,5,4,4,4,1,1,5,2,5,5,5
244279,FL,88,African American,M,GED,2,2,5,3,4,5,3,3,1,2,4,2,4,3,4,2,5,3,4,1,4,2,1,5,2
244437,GA,50,Hispanic,M,"B,Sc",4,5,5,2,2,4,3,1,1,3,4,2,3,5,4,1,4,2,1,2,5,1,2,5,4
244446,GA,67,Pacific Islander,F,M.Sc,4,4,5,2,1,1,1,3,5,1,5,3,5,4,1,4,4,2,4,4,4,5,2,4,4
244491,ID,85,White,F,High School,3,1,2,3,2,3,3,5,1,5,1,5,5,3,2,1,1,3,3,1,3,5,1,1,5
244561,IL,50,Asian,F,"B,Sc",5,3,3,2,2,2,4,4,2,4,2,1,4,4,1,3,3,3,3,3,2,4,4,5,1
244613,IL,58,Pacific Islander,M,M.Sc,2,3,4,3,4,2,5,1,4,4,1,2,5,5,4,5,2,3,4,2,1,1,5,1,1
245032,KY,61,Hispanic,F,High School,1,3,3,3,4,4,4,4,2,3,4,4,2,4,4,5,2,5,5,1,2,5,4,1,2
245069,KY,19,Hispanic,M,High School,2,4,1,2,1,2,4,2,5,1,5,3,2,4,3,1,3,3,4,4,2,2,3,5,4
245281,MS,96,African American,M,"B,Sc",1,2,5,1,4,2,1,2,2,5,5,2,5,1,5,5,4,1,2,2,2,3,1,1,4
245290,MS,40,Asian,M,"B,Sc",2,5,2,5,3,3,3,5,4,3,2,2,5,3,4,3,1,2,4,5,1,1,2,1,1
245342,MO,54,American Indian,F,GED,4,3,1,2,5,3,3,4,3,3,4,1,3,2,2,5,2,1,3,1,4,3,4,1,5
245421,MO,25,White,M,"B,Sc",3,4,3,2,1,5,3,1,5,2,5,5,2,3,4,3,5,1,2,1,3,2,1,3,3
245430,MO,53,American Indian,M,"A,Sc",5,5,1,5,5,3,3,2,1,2,3,4,5,1,3,3,4,2,4,5,2,2,4,3,3
245625,NJ,50,American Indian,M,"B,Sc",1,5,2,3,4,1,2,5,2,4,5,5,3,4,4,3,5,5,2,2,5,4,3,5,2
245652,NM,62,Pacific Islander,M,High School,3,5,5,1,3,2,3,4,2,3,1,4,4,5,5,5,3,5,3,5,3,2,4,1,5
245731,NY,76,Pacific Islander,F,GED,2,2,3,2,5,5,1,4,4,1,1,1,3,5,4,4,4,3,2,2,5,2,5,5,5
245777,NY,31,Hispanic,F,GED,2,3,4,2,5,4,3,5,2,1,3,2,1,1,1,2,3,4,2,4,5,3,3,1,1
245838,CA,24,African American,M,PhD,2,3,4,1,2,5,1,2,1,5,2,2,5,3,1,2,5,5,1,1,4,3,2,3,3
245847,CA,69,White,M,PhD,3,1,3,4,2,4,4,3,1,2,3,5,1,4,3,2,5,1,4,2,2,1,3,3,5
245865,NH,55,White,F,M.Sc,2,3,1,3,5,2,5,4,1,2,1,5,5,5,5,4,5,2,5,5,5,1,2,2,5
245883,WA,56,African American,M,GED,4,5,2,2,4,2,5,4,1,2,1,2,3,1,1,4,3,4,1,3,1,2,3,5,5
245892,OH,95,African American,M,"B,Sc",2,4,4,5,4,3,1,1,4,2,1,2,2,4,5,4,2,4,4,5,3,5,1,5,1
245953,OK,21,Asian,F,M.Sc,1,4,4,5,4,5,3,3,2,5,1,3,1,3,4,4,3,5,4,2,1,4,4,2,4
245962,OK,58,Pacific Islander,F,"B,Sc",2,5,5,1,2,4,1,5,2,5,2,5,4,3,4,4,1,4,4,3,5,3,3,4,5
245980,OK,37,Pacific Islander,F,PhD,1,2,1,4,2,1,5,1,2,3,4,2,4,2,4,1,2,3,3,4,5,5,1,2,5
245999,OK,86,Hispanic,M,M.Sc,5,3,1,5,3,4,4,3,5,1,1,2,3,1,1,5,5,5,5,4,3,5,2,1,4
246008,OK,95,Asian,M,GED,3,4,3,1,4,4,5,2,4,2,3,3,1,2,1,4,2,2,5,5,2,1,4,3,1
246017,OK,56,Pacific Islander,M,"A,Sc",1,3,5,4,3,2,5,3,4,4,4,3,3,5,2,4,2,3,4,5,5,5,3,1,1
246035,OR,31,Hispanic,F,"A,Sc",5,1,4,2,3,4,5,3,4,5,5,2,4,5,2,3,4,1,3,1,3,3,3,2,5
246071,PA,84,Asian,F,GED,2,3,5,1,4,1,1,2,1,1,3,5,5,1,5,2,5,3,3,1,5,2,1,4,1
246202,TN,86,Asian,F,"A,Sc",4,5,1,5,4,3,5,1,1,2,1,4,4,4,4,3,3,2,3,3,3,2,2,4,1
246266,TX,57,Hispanic,M,"A,Sc",5,5,3,2,4,1,2,5,4,4,1,3,3,2,2,4,3,2,1,4,3,4,1,3,2
246345,TX,89,Asian,F,PhD,2,2,5,2,2,5,2,1,2,1,5,1,3,2,4,4,5,1,5,3,5,3,3,3,3
246354,TX,67,Hispanic,M,GED,3,4,3,3,5,4,5,1,1,2,5,5,3,2,4,3,3,2,5,4,4,2,4,5,3
246406,TX,38,White,F,High School,1,5,5,3,4,3,2,1,3,3,4,2,5,4,2,5,2,5,2,2,2,1,3,2,5
246415,TX,95,American Indian,F,M.Sc,3,5,3,5,3,2,5,4,4,1,4,3,5,5,1,1,1,4,5,2,1,2,2,1,2
246460,TX,29,American Indian,M,High School,1,3,5,1,2,1,5,5,5,2,4,4,5,3,2,5,1,1,4,5,4,1,2,5,1
246594,WI,31,Asian,F,GED,1,5,2,5,3,4,1,3,5,1,4,1,1,4,2,3,1,3,4,1,3,1,4,5,4
246789,NY,22,Pacific Islander,F,M.Sc,5,5,1,3,3,3,4,1,4,3,2,2,1,5,4,3,4,5,3,5,3,1,3,1,2
246813,GA,89,Asian,F,High School,3,2,5,5,5,4,2,1,1,1,5,3,4,3,3,3,2,1,1,2,1,5,2,2,5
246895,AZ,61,Pacific Islander,M,"B,Sc",1,1,3,2,2,2,2,1,4,3,4,4,4,2,3,4,3,1,1,3,2,2,3,5,5
246974,CA,76,White,F,GED,2,4,2,5,3,5,3,2,5,5,1,2,1,5,5,4,3,4,3,3,3,2,4,1,3
247010,ID,20,Hispanic,F,PhD,3,3,3,4,1,1,1,4,3,5,5,1,2,3,3,2,1,3,5,5,5,2,2,2,2
247047,ID,44,American Indian,M,GED,5,2,2,4,3,2,4,3,5,1,3,5,3,3,3,5,2,5,1,3,4,4,1,1,4
247065,KY,63,Pacific Islander,F,"B,Sc",2,1,1,3,5,1,1,5,5,1,2,4,3,3,4,4,1,2,4,3,5,5,5,1,5
247083,LA,32,Pacific Islander,F,"A,Sc",3,1,4,5,4,5,3,2,1,4,5,3,3,4,4,1,3,1,2,4,5,2,2,1,3
247153,MI,23,African American,F,"A,Sc",1,4,3,2,5,1,5,2,3,1,2,1,3,5,1,5,2,1,4,3,3,2,2,4,1
247162,MI,92,White,F,"A,Sc",2,3,2,5,2,4,1,1,5,5,5,2,3,1,5,1,3,4,2,1,4,3,4,5,1
247409,MI,91,African American,M,"B,Sc",2,3,5,4,2,3,2,5,1,3,1,3,2,1,4,3,1,1,4,5,1,1,5,5,4
247603,NJ,87,African American,F,PhD,1,3,5,4,5,4,1,2,3,1,4,3,4,1,3,5,4,2,5,1,1,1,2,3,1
247649,VT,64,Pacific Islander,M,GED,5,1,5,5,1,2,3,5,3,3,5,5,3,5,2,3,2,5,2,1,3,3,2,1,2
247700,MO,90,American Indian,F,PhD,1,1,1,5,2,3,1,3,3,3,1,5,2,2,1,4,3,1,1,1,2,4,1,5,5
247737,MS,19,Pacific Islander,F,M.Sc,4,1,5,4,3,2,1,4,2,1,1,3,1,5,1,3,1,4,3,3,1,1,4,2,3
247773,MI,51,American Indian,F,PhD,1,2,1,1,3,4,1,5,4,3,4,3,2,3,5,1,5,2,1,2,3,4,2,3,2
247825,TX,81,Pacific Islander,M,"B,Sc",5,2,3,5,4,5,3,5,2,1,4,1,4,5,1,5,1,4,2,5,1,5,4,4,1
247834,TX,93,Hispanic,F,GED,3,3,3,4,4,3,2,4,3,4,2,5,1,3,4,2,2,3,1,5,5,4,3,2,5
247940,KY,38,White,M,PhD,4,4,3,5,5,4,2,5,1,2,3,2,4,5,2,2,4,5,1,1,4,3,5,1,3
248165,KY,86,White,M,"B,Sc",2,1,4,3,3,5,4,4,5,5,5,5,3,3,4,4,4,5,5,3,1,1,2,4,3
248192,KY,65,African American,M,PhD,1,3,2,5,5,5,2,4,1,3,2,4,1,4,3,2,4,1,4,4,1,4,2,4,2
248305,KY,26,American Indian,M,"A,Sc",4,3,2,3,5,1,5,3,4,5,2,4,1,2,5,2,5,2,5,3,2,4,2,1,1
248314,KY,86,Asian,M,High School,3,1,1,1,3,4,5,3,1,5,1,2,1,4,3,1,2,3,5,2,1,3,1,2,2
248527,LA,75,Hispanic,F,M.Sc,2,5,4,1,3,1,3,5,2,2,2,1,2,3,1,2,2,3,2,5,5,1,1,2,2
248606,OK,83,White,F,"B,Sc",1,2,4,3,5,2,5,1,5,2,1,3,4,2,1,5,3,3,5,5,2,5,3,3,3
248624,PA,47,Hispanic,M,"B,Sc",1,4,4,1,1,5,1,3,2,1,5,1,5,4,2,2,3,2,4,1,3,1,1,1,5
248633,PA,43,American Indian,M,GED,1,2,5,4,1,3,4,3,5,1,1,2,1,4,4,4,1,2,2,5,4,3,3,4,1
248660,TN,30,Asian,F,GED,3,1,2,5,2,4,2,1,5,1,2,3,3,3,2,1,5,3,5,5,2,5,5,2,4
248703,TX,95,Asian,M,"A,Sc",3,1,5,2,1,3,1,1,2,1,3,2,2,2,2,2,5,4,3,4,5,5,1,4,1
248776,GA,54,White,M,"B,Sc",1,3,2,4,2,3,2,2,5,5,4,5,1,3,2,4,1,3,2,4,2,3,2,3,4
248846,CA,52,Hispanic,F,GED,2,3,2,4,4,2,1,3,5,3,5,1,4,1,1,2,3,1,2,3,2,3,2,4,4
248882,NM,36,Hispanic,F,"A,Sc",3,1,5,1,1,5,1,2,4,5,3,3,2,4,4,2,2,5,4,3,3,4,2,4,3
248925,TN,90,Asian,M,High School,5,3,1,2,4,4,3,2,1,3,2,5,2,2,4,2,2,1,3,2,2,4,1,3,1
248934,VA,86,Hispanic,F,"A,Sc",4,5,1,1,3,2,4,4,5,5,2,4,1,3,2,3,1,2,4,5,1,1,4,5,1
249061,IL,79,Pacific Islander,F,"A,Sc",4,4,2,3,2,3,3,1,2,5,3,1,4,2,5,4,5,2,1,5,5,5,2,4,3
249140,NJ,90,Hispanic,F,"A,Sc",3,1,5,5,5,3,4,4,1,3,3,2,1,4,3,5,2,1,5,5,4,5,2,4,5
249238,TX,29,American Indian,F,PhD,4,3,5,5,1,3,3,3,1,4,1,5,3,4,5,4,1,2,2,5,3,5,1,5,1
249247,TX,100,Hispanic,F,"B,Sc",4,5,2,5,3,1,4,1,2,2,1,5,3,3,2,5,5,3,5,5,5,1,2,2,2
249566,OH,84,American Indian,F,"B,Sc",4,4,5,3,2,5,4,1,4,5,5,3,1,5,4,1,2,4,3,5,1,5,5,5,4
249609,PA,76,Pacific Islander,F,"A,Sc",4,3,1,3,4,2,4,4,4,5,2,2,1,5,4,1,5,3,3,3,2,5,5,4,2
250027,PA,25,Hispanic,M,"B,Sc",3,4,1,5,3,2,5,5,2,5,2,1,1,5,3,2,1,4,5,1,1,1,4,4,3
250072,PA,86,White,M,GED,2,4,3,4,1,2,4,4,1,3,1,2,3,2,1,1,5,5,4,4,3,5,3,3,3
250285,PA,77,White,M,M.Sc,2,3,5,2,1,3,3,2,3,1,4,1,2,2,5,2,5,2,1,5,2,3,4,4,4
250407,PA,100,White,M,"B,Sc",5,3,3,4,4,3,5,5,3,4,3,2,4,3,3,5,4,4,2,2,2,5,3,5,5
250498,FL,23,Hispanic,F,M.Sc,2,2,2,5,4,1,4,5,3,4,3,4,5,5,1,3,2,2,3,4,5,2,5,2,4
250601,AZ,38,Asian,F,"A,Sc",3,1,3,2,3,5,3,5,3,2,3,2,2,3,5,2,2,3,1,1,1,2,2,2,4
250744,MI,91,American Indian,M,M.Sc,4,4,1,4,1,1,3,4,3,5,1,4,1,5,2,4,1,5,3,1,3,2,4,1,5
250832,VT,61,American Indian,M,High School,2,5,3,4,4,5,5,5,5,5,5,3,5,4,5,5,3,1,3,4,3,2,3,5,4
250902,OH,28,Pacific Islander,F,PhD,2,5,3,5,1,1,4,1,2,4,3,3,1,2,1,3,2,4,1,4,3,2,4,1,1
250993,OK,62,American Indian,F,GED,5,1,5,2,3,5,1,1,3,5,2,4,2,5,5,5,5,5,5,4,1,3,4,4,4
251075,PA,36,Asian,M,GED,3,1,5,1,1,3,1,1,5,4,4,4,5,5,5,2,3,5,2,1,4,2,5,1,1
251251,IN,67,African American,M,High School,4,1,3,4,5,2,2,4,5,1,1,3,3,5,4,4,5,3,2,5,3,1,3,5,2
251260,AL,45,Hispanic,M,High School,3,4,2,3,3,1,3,4,2,1,2,2,1,5,4,2,1,1,3,3,2,4,5,1,5
251312,SC,37,Hispanic,F,"A,Sc",2,5,2,2,4,4,3,1,5,5,2,5,4,3,2,3,5,4,1,4,5,1,2,4,2
260293,FL,84,White,F,"B,Sc",5,5,1,4,5,2,3,4,3,1,3,3,2,5,1,2,5,4,1,2,4,3,3,1,2
260336,MO,40,African American,M,"A,Sc",1,1,1,5,5,3,5,3,1,4,2,2,3,4,3,4,5,4,5,1,3,4,3,5,1
260354,PA,91,Pacific Islander,M,High School,1,1,4,3,2,4,3,5,1,2,3,2,5,3,4,3,5,4,4,4,5,2,1,3,4
260363,PA,44,Asian,F,"A,Sc",1,2,3,2,1,1,1,4,4,2,2,5,3,3,5,1,5,5,4,4,2,1,5,2,2
260372,WI,43,African American,F,High School,2,4,3,4,1,5,2,1,3,4,3,2,1,2,3,2,2,3,5,5,3,1,3,1,5
260381,WI,37,Asian,M,GED,1,1,1,1,3,4,4,1,1,1,3,3,5,3,5,4,3,4,1,5,4,3,4,4,2
260664,LA,40,Hispanic,M,High School,3,2,2,5,3,4,3,3,2,5,3,3,4,2,2,3,3,5,5,5,4,5,2,1,1
260691,AZ,81,African American,M,PhD,1,4,1,5,3,4,2,4,5,1,5,3,4,5,3,1,4,2,5,4,3,1,2,5,3
260789,CA,82,Asian,F,M.Sc,5,5,4,3,5,4,1,3,3,1,2,2,1,5,3,2,1,5,4,3,3,2,3,4,5
260813,CO,33,Pacific Islander,F,PhD,2,1,2,2,4,5,2,4,2,4,4,4,3,5,1,4,4,3,3,1,5,4,2,4,3
260901,IA,18,White,F,PhD,5,1,5,5,1,1,5,4,5,4,4,5,5,5,3,1,3,5,1,4,3,1,2,3,4
260910,IA,68,Asian,M,M.Sc,3,2,5,5,4,1,1,5,1,1,2,3,3,2,4,1,3,4,3,1,1,4,5,5,1
260929,ID,91,Asian,F,High School,1,3,5,3,2,3,4,3,4,4,1,1,1,4,5,5,4,2,3,3,4,5,1,3,4
260947,IL,99,Asian,M,High School,5,5,1,4,1,4,1,2,1,5,1,1,4,1,2,5,4,4,2,2,1,5,3,4,4
260956,IL,55,Hispanic,F,High School,1,1,2,1,4,4,5,2,4,1,2,5,4,3,4,4,3,1,2,2,4,5,2,2,4
260965,IL,63,Pacific Islander,M,"A,Sc",5,1,5,2,3,5,2,5,4,1,4,2,3,4,2,4,4,4,5,4,2,1,3,1,4
260974,IL,85,African American,M,GED,1,1,1,5,4,5,4,5,3,5,1,3,2,1,2,3,1,2,1,1,3,2,4,3,1
260992,IL,37,Hispanic,F,PhD,2,1,2,3,1,1,2,3,5,5,3,4,4,5,3,3,4,1,1,5,3,4,1,5,1
261375,OK,73,Hispanic,F,PhD,4,1,4,3,5,1,3,1,5,3,2,1,5,3,3,4,2,3,4,4,2,1,4,5,3
261384,OK,44,African American,M,PhD,4,4,5,1,2,1,2,1,2,1,1,4,4,5,3,4,5,4,4,5,5,2,3,5,4
261393,OK,77,Hispanic,F,High School,2,2,5,2,4,1,2,5,3,5,2,4,2,3,1,2,3,4,5,3,3,5,4,5,1
261436,MI,62,Hispanic,F,"A,Sc",4,5,5,5,3,5,3,5,1,4,1,4,1,5,1,5,5,2,2,3,5,4,3,5,4
261472,MI,89,American Indian,M,High School,5,4,5,4,1,2,4,5,4,2,1,1,2,3,4,2,5,2,5,1,3,2,4,2,3
261676,MI,46,Hispanic,M,PhD,1,4,3,4,3,2,2,5,4,5,3,3,4,5,3,2,3,2,3,2,5,1,5,3,5
261685,MI,20,Hispanic,M,"B,Sc",4,3,4,2,5,1,5,1,5,1,3,1,2,3,4,1,2,2,4,4,2,2,2,5,4
261719,MI,35,African American,M,M.Sc,1,4,2,2,3,1,1,4,4,2,3,4,2,1,3,1,1,4,4,5,2,4,1,1,3
261773,MO,84,American Indian,M,GED,2,2,1,2,4,1,5,4,3,4,5,5,5,3,4,4,5,3,2,3,5,3,5,5,2
261861,PA,88,White,F,M.Sc,3,2,4,4,1,1,2,1,5,4,1,2,5,5,1,5,4,1,3,4,5,5,3,1,1
261931,VA,52,Hispanic,F,"B,Sc",4,3,5,4,3,2,3,4,1,5,5,1,4,3,2,4,5,2,4,4,2,5,4,5,1
